Roll: 1101CS34
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,AB,1
CH110,3,CORE,AB,1
EE101,8,CORE,BB,1
HS101,6,CORE,AB,1
MA101,8,CORE,BB,1
ME110,3,CORE,AB,1
ME111,7,CORE,AB,1
PH101,6,CORE,AA,1
CH102,6,CORE,BB,2
CS101,6,CORE,AA,2
CS110,3,CORE,AB,2
EE102,4,CORE,AB,2
MA102,8,CORE,AB,2
ME101,8,CORE,BC,2
PH102,6,CORE,BB,2
PH110,3,CORE,AB,2
CS201,9,CORE,BB,3
CS203,6,CORE,AA,3
CS221,6,CORE,AA,3
EE220,8,CORE,AB,3
HS201,6,HSS Elective,AB,3
MA201,8,CORE,AB,3
CS204,6,CORE,AB,4
CS222,6,CORE,AB,4
CS223,3,CORE,AB,4
CS241,7,CORE,AB,4
CS242,5,CORE,BB,4
HS202,6,HS Elective,BB,4
MA225,8,CORE,BB,4
MA251,6,Elective-Sc.,AB,4
CS301,6,CORE,AA,5
CS331,8,CORE,BB,5
CS341,6,CORE,BB,5
CS342,5,CORE,AB,5
CS343,6,CORE,BB,5
CS344,6,CORE,AB,5
CS345,5,CORE,AB,5
CS381,6,Open Elective,AA,5
CS302,6,CORE,AB,6
CS346,6,CORE,AA,6
CS347,3,CORE,AA,6
CS348,8,CORE,BB,6
CS362,8,CORE,AB,6
CS399,3,CORE,AB,6
HS331,6,HS Elective,BB,6
CS400,2,CORE,AA,7
CS421,6,CORE,AB,7
CS422,5,CORE,AA,7
CS498,10,CORE,AA,7
CS508,6,Departmental Elective - II,AA,7
CS561,6,Departmental Elective - I,AA,7
MA511,6,Open Elective - I,AB,7
CS499,16,CORE,AA,8
CS502,6,Departmental Elective - IV,BB,8
CS548,6,Departmental Elective - III,AB,8
HS411,6,HS Elective,AB,8
MA508,6,Open Elective - II,AB,8
