Roll: 1201ME39
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,DD,1
CH110,3,CORE,BB,1
EE101,8,CORE,DD,1
HS101,6,CORE,CD,1
MA101,8,CORE,DD,1
ME110,3,CORE,BB,1
ME111,7,CORE,DD,1
PH101,6,CORE,DD,1
CH102,6,CORE,CD,2
CS101,6,CORE,CD,2
CS110,3,CORE,CD,2
EE102,4,CORE,BC,2
MA102,8,CORE,DD,2
ME101,8,CORE,F,2
PH102,6,CORE,DD,2
PH110,3,CORE,CC,2
CS201,9,CORE,DD,3
HS231,6,HS Elective,BC,3
MA201,8,CORE,DD,3
ME201,6,CORE,F,3
ME204,6,CORE,DD,3
ME205,8,CORE,CC,3
ME211,4,CORE,CC,3
CH201,6,Science Elective,CD,4
EE280,6,CORE,DD,4
EE281,3,CORE,CC,4
HS211,6,HS Elective,CC,4
ME202,6,CORE,DD,4
ME203,6,CORE,F,4
ME206,6,CORE,CD,4
ME210,6,CORE,BC,4
ME212,4,CORE,BB,4
