Roll: 1201CS22
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,BB,1
CH110,3,CORE,BC,1
EE101,8,CORE,BC,1
HS101,6,CORE,BC,1
MA101,8,CORE,BC,1
ME110,3,CORE,BB,1
ME111,7,CORE,AB,1
PH101,6,CORE,BC,1
CH102,6,CORE,CC,2
CS101,6,CORE,AB,2
CS110,3,CORE,AB,2
EE102,4,CORE,BB,2
MA102,8,CORE,BC,2
ME101,8,CORE,BC,2
PH102,6,CORE,CC,2
PH110,3,CORE,BB,2
CS201,9,CORE,AB,3
CS203,6,CORE,BB,3
CS221,6,CORE,BB,3
EE220,8,CORE,BB,3
HS201,6,HS Elective,BC,3
MA201,8,CORE,BB,3
CS204,6,CORE,BC,4
CS222,6,CORE,DD,4
CS223,3,CORE,AB,4
CS241,7,CORE,BB,4
CS242,5,CORE,BC,4
HS202,6,HS Elective,CC,4
MA225,8,CORE,BB,4
MA251,6,Science Elective,DD,4
CS301,6,CORE,BC,5
CS331,8,CORE,CC,5
CS341,6,CORE,CC,5
CS342,5,CORE,AA,5
CS343,6,CORE,CC,5
CS344,6,CORE,BC,5
CS345,5,CORE,AB,5
HS351,6,Open Elective,BC,5
CS302,6,CORE,DD,6
CS346,6,CORE,CD,6
CS347,3,CORE,BC,6
CS348,8,CORE,CD,6
CS362,8,CORE,CC,6
CS399,3,CORE,BC,6
HS331,6,HS Elective,DD,6
CS400,2,CORE,BC,7
CS421,6,CORE,DD,7
CS422,5,CORE,CC,7
CS498,10,CORE,CC,7
CS544,6,Departmental Elective - II,DD,7
CS545,6,Departmental Elective - I,CC,7
MA410,6,Open Elective - I,CD,7
CS499,16,CORE,DD,8
CS543,6,Departmental Elective III,CD,8
CS548,6,Departmental Elective IV,DD,8
CS564,6,Open Electives II,DD,8
HS441,6,HSS Electives,DD,8
